
#Left	0
#Top	0
#Right	5200
#Bottom	3800
#CameraLeft	0
#CameraTop	400
#CameraRight	5200
#CameraBottom	3800	

#Player
50	1139

#Enemy
res/dat/main/enemy/table/enemyTable01_b.txt

#ActionCircle
{
200	600	140
600	600	140
1000	600	140
1400	600	140
1800	600	140
2200	600	140
2600	600	140
3000	600	140
3400	600	140
3800	600	140
4200	600	140
4600	600	140
5000	600	140
400	800	100
800	800	100
1200	800	100
1600	800	100
2000	800	100
2400	800	100
2800	800	100
3200	800	100
3600	800	100
4000	800	100
4400	800	100
4800	800	100
200	1000	140
600	1000	140
1000	1000	140
1400	1000	140
1800	1000	140
2200	1000	140
2600	1000	140
3000	1000	140
3400	1000	140
3800	1000	140
4200	1000	140
4600	1000	140
5000	1000	140
800	1200	100
1200	1200	100
1600	1200	100
2000	1200	100
3200	1200	100
3600	1200	100
4000	1200	100
4400	1200	100
4800	1200	100
600	1400	140
1000	1400	140
1400	1400	140
1800	1400	140
2200	1400	140
3000	1400	140
3400	1400	140
3800	1400	140
4200	1400	140
4600	1400	140
5000	1400	140
800	1600	100
1200	1600	100
1600	1600	100
2000	1600	100
3200	1600	100
3600	1600	100
4000	1600	100
4400	1600	100
4800	1600	100
200	1800	140
600	1800	140
1000	1800	140
1400	1800	140
1800	1800	140
2200	1800	140
3000	1800	140
3400	1800	140
3800	1800	140
4200	1800	140
4600	1800	140
5000	1800	140
400	2000	100
800	2000	100
1200	2000	100
1600	2000	100
2000	2000	100
3200	2000	100
3600	2000	100
4000	2000	100
4400	2000	100
4800	2000	100
200	2200	140
600	2200	140
1000	2200	140
1400	2200	140
1800	2200	140
2200	2200	140
3000	2200	140
3400	2200	140
3800	2200	140
4200	2200	140
4600	2200	140
5000	2200	140
400	2400	100
800	2400	100
1200	2400	100
1600	2400	100
2000	2400	100
3200	2400	100
3600	2400	100
4000	2400	100
4400	2400	100
4800	2400	100
200	2600	140
600	2600	140
1000	2600	140
1400	2600	140
1800	2600	140
2200	2600	140
2600	2600	140
3000	2600	140
3400	2600	140
3800	2600	140
4200	2600	140
4600	2600	140
5000	2600	140
400	2800	100
800	2800	100
1200	2800	100
1600	2800	100
2000	2800	100
2400	2800	100
2800	2800	100
3200	2800	100
3600	2800	100
4000	2800	100
4400	2800	100
4800	2800	100
}

#ActionPolygon
{
4
-200	3200
5400	3200
5400	3800
-200	3800

4
2400	1200
2800	1200
2800	2400
2400	2400

4
-800	1200
400	1200
400	1600
-800	1600

}
