#Bird
{
770	2809
1600	1609
1730	1429
1870	1249
2060	1239
2270	1229
2460	1229
2630	1239
3080	1259
910	2589
1060	2369
1200	2189
1330	2009
1470	1809
1520	2029
1740	2049
1930	2059
2140	2069
2330	2079
2510	2179
2650	2329
2770	2499
2880	2669
3060	2669
3260	2679
3440	2679
3660	2689
3760	2509
2750	1079
2970	1089
2750	1439
2960	1449
3750	2839
3950	2509
3960	2839
4050	2679
3289	1269
3489	1269
3689	1269
3909	1279
4119	1289
4339	1289
4569	1279
4779	1279
4979	1279
5199	1269
5419	1269
5619	1049
5959	1049
5629	1439
5969	1449
4279	2689
4519	2709
4739	2719
4939	2709
5079	2479
5209	2279
5339	2079
5439	1879
5549	1689

}
#Fairy
{
2850	1249
3850	2689
5629	1259
5799	1259
5959	1259
5799	1059
5799	1429
6119	1249

}
