#Bird
{
1347	4800
753	4559
1834	5554
1494	6140
661	3770
1552	3781
2176	4307
1072	2967
2008	2920
2683	5015
2843	3459
475	1737
1416	1923
2550	5758
3046	4313
3489	3592
6297	500
5874	744
4930	1561
6279	2026
6224	2958
5534	2364
5119	3244
4300	4041
3903	4986
3286	5347
6193	6043
5307	5456
4943	4673
6078	4263
4396	6106
1596	944
2840	1010
3864	1313
3067	2247
2161	6121
1965	4858
1184	4116
1526	3198
594	2341
815	1035
974	516
184	1046
2334	1423
4002	2066
4532	784
3152	1542
2286	1975
1729	2245
2638	2589
3955	2563
4076	3171
3280	2808
4765	2135
4720	2767
5119	3920
6294	3514
6168	4756
3644	4205
5349	6007
3418	6000
5599	894
6071	615

7407	480
8087	533
7771	978
7413	1291
8148	1536
7605	1596
9011	1418
8601	1853
7601	1971
7993	2231
8797	2651
7515	2652
7534	3011
8136	2786
8419	3422
7401	6116
7394	5430
7381	4867
7395	4079
8385	4146
8405	4621
8778	4819
9383	4786
8771	5315
9389	5423
9793	5217
8559	5923
9593	5990
10156	5965
8225	5249
10413	5220
10421	4401
9987	3771
9219	3784
9177	3355
10006	3350
9393	2807
9985	2397
9189	2404
9782	752
10550	1186
9999	1276
11177	1593
10800	2377
11198	790
11967	1603
11270	3007
12172	2927
11618	3668
12108	4062
11605	4421
11979	4848
11552	5245
12011	5716
10374	2811
12615	3401
13008	802
12790	1569
12867	2806
13123	4086
}
